id,timestamp,text,speaker,reply_to,conversation_id,end,duration,sentiment,decision,private,survival item,clean_text,age_of_acquisition,concreteness,familiarity,imageability,please,please_start,has_hedge,indirect_(btw),hedges,factuality,deference,gratitude,apologizing,1st_person_plural,1st_person,1st_person_start,2nd_person,2nd_person_start,indirect_(greeting),direct_question,direct_start,has_positive,has_negative,subjunctive,indicative,politeness_markers_please,politeness_markers_please_start,politeness_markers_has_hedge,politeness_markers_indirect_(btw),politeness_markers_hedges,politeness_markers_factuality,politeness_markers_deference,politeness_markers_gratitude,politeness_markers_apologizing,politeness_markers_1st_person_pl.,politeness_markers_1st_person,politeness_markers_1st_person_start,politeness_markers_2nd_person,politeness_markers_2nd_person_start,politeness_markers_indirect_(greeting),politeness_markers_direct_question,politeness_markers_direct_start,politeness_markers_has_positive,politeness_markers_has_negative,politeness_markers_subjunctive,politeness_markers_indicative
1.Pink.1,0 days 00:00:02,"""So what did everyone do as one""",1.Pink,,1.Pink.1,00:03.5,00:01.5,,,,,So what did everyone do as one,0.0,256.0,592.5,284.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1.Blue.1,0 days 00:00:04,"""I did uh cigarette lighter""",1.Blue,1.Pink.1,1.Pink.1,00:05.7,00:01.7,,,Private,Cigarette Lighter,I did uh cigarette lighter,0.0,431.25,570.25,474.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,[],[],[],[],[],[],[],[],[],[],"[[('i', 0, 1)]]",[],[],[],[],[],[],"[[('lighter', 0, 5)]]",[],[],[]
1.Blue.2,0 days 00:00:06.400000,"""For one""",1.Blue,1.Blue.1,1.Pink.1,00:07.2,00:00.7,,,Private,Cigarette Lighter,For one,0.0,312.0,608.0,324.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1.Pink.2,0 days 00:00:07.300000,"""Mm okay I did knife""",1.Pink,1.Blue.2,1.Pink.1,00:09.3,00:02.1,,,Private,Knife,Mm okay I did knife,0.0,393.75,574.5,424.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,[],[],[],[],[],[],[],[],[],[],[],"[[('i', 1, 0)]]",[],[],[],[],[],[],"[[('knife', 1, 2)]]",[],[]
1.Green.1,0 days 00:00:09.400000,"""Knife""",1.Green,1.Pink.2,1.Pink.1,00:09.9,00:00.6,,,,Knife,Knife,0.0,612.0,573.0,633.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[('knife', 0, 1)]]",[],[]
1.Blue.3,0 days 00:00:09.800000,"""Okay well do knife then""",1.Blue,1.Green.1,1.Pink.1,00:11.2,00:01.4,,Proposal,,Knife,Okay well do knife then,0.0,358.0,579.4,375.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[('well', 0, 2)]]","[[('knife', 0, 4)]]",[],[]
1.Blue.4,0 days 00:00:11.200000,"""$""",1.Blue,1.Blue.3,1.Pink.1,00:12.0,00:00.8,Positive,,,,$,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1.Pink.3,0 days 00:00:11.300000,"""$""",1.Pink,1.Blue.4,1.Pink.1,00:12.7,00:01.4,Positive,,,,$,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
1.Pink.4,0 days 00:00:12.700000,"""Well I think it that and and um the cigarette lighter are all pretty important""",1.Pink,1.Pink.3,1.Pink.1,00:19.0,00:06.3,,,,"Cigarette Lighter, Knife",Well I think it that and and um the cigarette lighter are all pretty important,0.0,329.69,596.86,362.86,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,[],[],"[[('think', 0, 3)]]",[],"[[('i', 0, 2), ('think', 0, 3)]]",[],[],[],[],[],"[[('i', 0, 2)]]",[],[],[],[],[],"[[('and', 1, 0)]]","[[('well', 0, 1)], [('lighter', 1, 5)], [('pretty', 1, 8)], [('important', 1, 9)]]",[],[],[]
1.Blue.5,0 days 00:00:14.400000,"""Yeah yeah makes sense""",1.Blue,1.Pink.4,1.Pink.1,00:15.6,00:01.2,,,,,Yeah yeah makes sense,336.0,316.0,583.0,368.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
